"C57BL6_0dpi_rep1","C57BL6_0dpi_rep2","C57BL6_1stInf_5dpi_rep1","C57BL6_1stInf_5dpi_rep2","C57BL6_2ndInf_5dpi_rep1","NMRI_1stInf_3dpi_rep1","NMRI_1stInf_3dpi_rep2","NMRI_1stInf_5dpi_rep1","NMRI_1stInf_5dpi_rep2","NMRI_1stInf_5dpi_rep3","NMRI_1stInf_7dpi_rep1","NMRI_1stInf_7dpi_rep2","NMRI_2ndInf_0dpi_rep1","NMRI_2ndInf_0dpi_rep2","NMRI_2ndInf_3dpi_rep2","NMRI_2ndInf_5dpi_rep1","NMRI_2ndInf_7dpi_rep1","NMRI_2ndInf_7dpi_rep2","Rag_0dpi_rep1","Rag_0dpi_rep2","Rag_1stInf_5dpi_rep1","Rag_1stInf_5dpi_rep2","Rag_2ndInf_5dpi_rep1"
"ENSMUSG00000000278",1820,2340,3012,1028,3255,22684,50927,18210,34038,31208,1184,10799,27829,7958,11481,72301,9924,12334,1682,2535,4397,2677,4066
"ENSMUSG00000000282",866,1231,716,338,734,2826,7318,2200,3546,2954,211,1790,4073,1366,1820,7988,1753,1538,545,1215,783,738,1073
"ENSMUSG00000000290",65,79,338,168,500,1276,4306,3474,2470,17656,1606,7343,1067,1877,2915,35138,8262,3121,56,168,153,102,208
"ENSMUSG00000000295",960,1345,1049,163,1558,4276,8421,2084,5779,6076,195,1794,4650,1579,2359,8417,2116,2676,962,1618,1698,1247,2139
"ENSMUSG00000000296",73,125,46,6,58,79,145,23,82,89,0,14,192,75,58,115,32,60,27,20,23,16,23
"ENSMUSG00000000301",155,245,335,32,447,1241,2224,593,1512,1174,58,457,1031,275,674,2055,670,593,194,315,366,259,475
"ENSMUSG00000000303",39197,57435,55257,23716,38947,156519,447009,229648,241194,320610,6511,60743,191321,60593,60381,461628,50988,80699,32282,61659,76738,48178,67635
"ENSMUSG00000000305",5,2,9,2,5,6,35,18,3,12,2,13,10,19,8,12,7,5,1,1,4,6,3
"ENSMUSG00000000308",40439,51952,52682,25829,53933,127844,354483,231612,185175,205572,6943,60984,178822,87302,79959,412780,55730,100770,47212,99246,72267,61757,59563
"ENSMUSG00000000317",6,14,9,3,10,40,115,12,64,32,2,17,41,11,31,64,11,19,3,7,10,10,16
"ENSMUSG00000000318",4,1,16,8,33,18,118,74,102,208,18,37,59,49,57,401,149,147,6,9,23,14,21
"ENSMUSG00000000320",3,1,3,2,0,2,24,5,8,18,0,22,15,3,9,56,3,10,0,10,3,7,1
"ENSMUSG00000000325",467,737,358,154,494,1606,3663,809,1861,1052,73,461,2672,1021,1304,4226,920,1172,449,670,423,406,668
"ENSMUSG00000000326",5336,8431,6305,1951,7569,21049,51653,13591,30359,25051,870,8266,22253,8647,12299,55840,9734,11973,4269,7023,7070,5080,8965
"ENSMUSG00000000339",3514,4938,3595,1360,3658,11594,27270,10357,17707,14034,549,4012,14342,4760,5264,29971,4514,8080,2703,4844,3876,2912,4607
"ENSMUSG00000000340",1761,2658,1373,364,1031,5945,14077,2341,11031,5821,163,1573,11102,2112,1944,14307,2051,3525,979,1298,1366,1171,2230
"ENSMUSG00000000346",7703,12858,9134,4713,6311,31339,67767,28482,46885,47938,1838,13781,43504,14374,15197,97450,13644,20983,6518,12352,10170,8429,14013
"ENSMUSG00000000355",888,1502,1196,455,998,5719,12163,4423,9024,12232,336,2767,9771,1450,2136,16490,2357,2352,747,902,982,773,2037
"ENSMUSG00000000359",0,2,0,4,0,0,0,0,0,6,0,10,0,0,6,6,8,3,1,0,0,0,0
"ENSMUSG00000000365",1,1,2,0,0,0,1,0,0,6,1,1,0,2,0,10,0,0,0,0,0,0,1
"ENSMUSG00000000374",4262,6257,5014,1384,3645,17715,47938,18621,28622,26989,857,7724,24385,6775,7259,47579,6674,10039,2738,7502,6732,4835,8278
"ENSMUSG00000000378",1683,2315,2104,648,2964,7091,17286,6259,10362,11011,544,5129,7648,3223,4655,21998,5146,4441,1528,2689,2813,2091,3562
"ENSMUSG00000000381",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0
"ENSMUSG00000000384",9639,15225,12678,2675,16764,45681,114550,35112,66469,50493,1845,17340,45759,17039,24678,106487,20090,25513,8772,18714,15344,12858,20783
"ENSMUSG00000000385",17794,25608,13610,4266,11780,43525,102843,34740,77224,52663,1770,18149,125673,27674,29349,145629,22813,37976,12455,20104,17125,12609,21043
"ENSMUSG00000000386",154,218,5866,622,849,2087,10324,30169,4486,20442,202,1269,1328,295,582,8041,899,693,211,408,1718,490,1500
"ENSMUSG00000000392",117,173,246,41,143,539,1344,334,646,604,23,177,575,220,211,675,122,198,85,133,96,59,275
"ENSMUSG00000000394",572,1573,1396,238,2019,2852,10610,2029,6164,4130,49,305,5600,736,2603,6893,2813,4392,657,927,1183,1542,3050
"ENSMUSG00000000399",11191,15978,12577,3776,13396,42698,104273,37483,67213,63455,1731,13918,57661,17352,19748,108563,17483,27504,10376,15833,15352,10436,16637
"ENSMUSG00000000402",1,0,0,2,0,0,2,0,4,0,0,4,6,1,1,5,3,4,0,0,0,0,0
