go,gene
GO:0003735,EfaB_MINUS_11414.g1000
GO:0005840,EfaB_MINUS_11414.g1000
GO:0005509,EfaB_MINUS_11414.g1001
GO:0016021,EfaB_MINUS_11414.g1001
GO:0008219,EfaB_MINUS_11414.g1001
GO:0051920,EfaB_MINUS_11414.g1002
GO:0055114,EfaB_MINUS_11414.g1002
GO:0016209,EfaB_MINUS_11414.g1002
GO:0016491,EfaB_MINUS_11414.g1002
GO:0055114,EfaB_MINUS_11414.g1002
GO:0008152,EfaB_MINUS_11414.g1004
GO:0006629,EfaB_MINUS_11414.g1004
GO:0006508,EfaB_MINUS_11414.g1009
GO:0004190,EfaB_MINUS_11414.g1009
GO:0004190,EfaB_MINUS_11414.g1009
GO:0006508,EfaB_MINUS_11414.g1009
GO:0006886,EfaB_MINUS_11414.g1010
GO:0005801,EfaB_MINUS_11414.g1010
GO:0016020,EfaB_MINUS_11414.g1010
GO:0004252,EfaB_MINUS_11414.g1016
GO:0006508,EfaB_MINUS_11414.g1016
GO:0003755,EfaB_MINUS_11414.g1017
GO:0006457,EfaB_MINUS_11414.g1017
GO:0003676,EfaB_MINUS_11414.g1017
GO:0000166,EfaB_MINUS_11414.g1017
GO:0006468,EfaB_MINUS_11414.g1018
GO:0005524,EfaB_MINUS_11414.g1018
GO:0004672,EfaB_MINUS_11414.g1018
GO:0016772,EfaB_MINUS_11414.g1018
GO:0004672,EfaB_MINUS_11414.g1018
GO:0006468,EfaB_MINUS_11414.g1018
GO:0005524,EfaB_MINUS_11414.g1018
GO:0005488,EfaB_MINUS_11414.g1018
GO:0005515,EfaB_MINUS_11414.g1019
GO:0032040,EfaB_MINUS_11414.g1019
GO:0006364,EfaB_MINUS_11414.g1019
GO:0005524,EfaB_MINUS_11414.g1020
GO:0009435,EfaB_MINUS_11414.g1020
GO:0003952,EfaB_MINUS_11414.g1020
GO:0016810,EfaB_MINUS_11414.g1020
GO:0006807,EfaB_MINUS_11414.g1020
GO:0005515,EfaB_MINUS_11414.g1021
GO:0051260,EfaB_MINUS_11414.g1021
GO:0046933,EfaB_MINUS_11414.g1024
GO:0033178,EfaB_MINUS_11414.g1024
GO:0046961,EfaB_MINUS_11414.g1024
GO:0015991,EfaB_MINUS_11414.g1024
GO:0015991,EfaB_MINUS_11414.g1024
GO:0046961,EfaB_MINUS_11414.g1024
GO:0033180,EfaB_MINUS_11414.g1024
GO:0003676,EfaB_MINUS_11414.g1025
GO:0005515,EfaB_MINUS_11414.g1025
GO:0000166,EfaB_MINUS_11414.g1025
GO:0003824,EfaB_MINUS_11414.g1026
GO:0046872,EfaB_MINUS_11414.g1026
GO:0046872,EfaB_MINUS_11414.g1026
GO:0003824,EfaB_MINUS_11414.g1026
GO:0006508,EfaB_MINUS_11414.g1026
GO:0004222,EfaB_MINUS_11414.g1026
GO:0008270,EfaB_MINUS_11414.g1026
GO:0008237,EfaB_MINUS_11414.g1026
GO:0008270,EfaB_MINUS_11414.g1026
GO:0006508,EfaB_MINUS_11414.g1026
GO:0003676,EfaB_MINUS_11414.g1027
GO:0016772,EfaB_MINUS_11414.g1027
GO:0000166,EfaB_MINUS_11414.g1027
GO:0005524,EfaB_MINUS_11414.g1028
GO:0004386,EfaB_MINUS_11414.g1028
GO:0003676,EfaB_MINUS_11414.g1028
GO:0004386,EfaB_MINUS_11414.g1028
GO:0031227,EfaB_MINUS_11414.g1031
GO:0016788,EfaB_MINUS_11414.g1031
GO:0006886,EfaB_MINUS_11414.g1031
GO:0006505,EfaB_MINUS_11414.g1031
GO:0005515,EfaB_MINUS_11414.g997
GO:0005524,EfaB_MINUS_11414.g998
GO:0000166,EfaB_MINUS_11414.g998
GO:0017111,EfaB_MINUS_11414.g998
GO:0005737,EfaB_MINUS_11414.g998
GO:0016787,EfaB_MINUS_11414.g998
GO:0030163,EfaB_MINUS_11414.g998
GO:0005515,EfaB_MINUS_11789.g1033
GO:0016021,EfaB_MINUS_11789.g1034
GO:0000287,EfaB_MINUS_11789.g1034
GO:0004012,EfaB_MINUS_11789.g1034
GO:0005524,EfaB_MINUS_11789.g1034
GO:0015914,EfaB_MINUS_11789.g1034
GO:0016820,EfaB_MINUS_11789.g1034
GO:0006812,EfaB_MINUS_11789.g1034
GO:0005524,EfaB_MINUS_11789.g1034
GO:0015662,EfaB_MINUS_11789.g1034
GO:0016020,EfaB_MINUS_11789.g1034
GO:0004835,EfaB_MINUS_11789.g1035
GO:0006464,EfaB_MINUS_11789.g1035
GO:0005515,EfaB_MINUS_11882.g1037
GO:0003755,EfaB_MINUS_11882.g1038
GO:0006457,EfaB_MINUS_11882.g1038
GO:0006457,EfaB_MINUS_11882.g1038
GO:0003755,EfaB_MINUS_11882.g1038
GO:0006457,EfaB_MINUS_11882.g1038
GO:0005515,EfaB_MINUS_11882.g1038
GO:0006412,EfaB_MINUS_11882.g1039
GO:0005622,EfaB_MINUS_11882.g1039
GO:0003735,EfaB_MINUS_11882.g1039
GO:0005840,EfaB_MINUS_11882.g1039
GO:0003735,EfaB_MINUS_11882.g1039
GO:0006412,EfaB_MINUS_11882.g1039
GO:0015935,EfaB_MINUS_11882.g1039
GO:0003824,EfaB_MINUS_11882.g1040
GO:0006207,EfaB_MINUS_11882.g1040
GO:0004590,EfaB_MINUS_11882.g1040
GO:0003824,EfaB_MINUS_11882.g1040
GO:0008152,EfaB_MINUS_11882.g1040
GO:0004590,EfaB_MINUS_11882.g1040
GO:0006221,EfaB_MINUS_11882.g1040
GO:0031072,EfaB_MINUS_11882.g1043
GO:0005515,EfaB_MINUS_11882.g1043
GO:0006457,EfaB_MINUS_11882.g1043
GO:0051082,EfaB_MINUS_11882.g1043
GO:0031072,EfaB_MINUS_11882.g1043
GO:0003723,EfaB_MINUS_11882.g1044
GO:0006396,EfaB_MINUS_11882.g1044
GO:0008173,EfaB_MINUS_11882.g1044
GO:0003677,EfaB_MINUS_11882.g1045
GO:0008094,EfaB_MINUS_11882.g1045
GO:0006259,EfaB_MINUS_11882.g1045
GO:0005524,EfaB_MINUS_11882.g1045
GO:0000166,EfaB_MINUS_11882.g1045
GO:0005634,EfaB_MINUS_11882.g1045
GO:0005524,EfaB_MINUS_11882.g1045
GO:0003677,EfaB_MINUS_11882.g1045
