,DESeq normalised counts,,,DE of gametocytes over merozoites,,,,DE of gametocytes over sporozoites,,,
gene ID,gametocyte,merozoite,sporozoite,fold change,log2 fold change,p-value,adjusted p-value,fold change,log2 fold change,p-value,adjusted p-value
ETH_00007970,1.1508703646,0,1.8699473247,Max,Max,0.9981896908,1,0.6154560342,-0.7002722951,0.8394598456,0.8834389
ETH_00026060,5.4117619825,0,8.8861556139,Max,Max,0.1719972591,0.2556284398,0.6090104898,-0.7154610172,0.9134598664,0.940264033
ETH_00022885,16.1357411123,0,26.889672576,Max,Max,0.0038370848,0.0108087565,0.6000720562,-0.7367923461,0.4807050153,0.5620701992
ETH_00004025,5.9212747692,0,9.868838412,Max,Max,0.124995854,0.1968350314,0.5999971346,-0.736972484,0.8805656042,0.9148214738
ETH_00003000,9.9726211966,0,18.3332889959,Max,Max,0.0258608159,0.0534929253,0.5439624717,-0.8784209724,0.6978240698,0.7616859484
ETH_00010110,11.361614506,0,23.2013768105,Max,Max,0.0398340783,0.0764666801,0.4896957021,-1.030042561,0.416755381,0.4991473966
ETH_00038610,0.4339791876,0,0.9342027286,Max,Max,1,1,0.4645449798,-1.106109802,0.9924258529,0.9984036224
ETH_00004600,39.4943390144,0,87.4740294825,Max,Max,0.000001999,1.46613748499825E-005,0.4514978817,-1.1472088759,0.2780955091,0.3538975914
ETH_00002995,16.2790083649,0,40.820433254,Max,Max,0.0029929778,0.0088061689,0.3987955802,-1.3262786741,0.5015483853,0.5814685747
ETH_00026375,11.5786040999,0,36.1795591207,Max,Max,0.0068336397,0.0175282855,0.3200316527,-1.643713493,0.1443484875,0.2017443004
ETH_00000535,19.2395178213,0,60.2997550628,Max,Max,0.0352685658,0.0690685543,0.3190646098,-1.648079499,0.3312379576,0.4110743384
ETH_00043355,1.5674384029,0,5.7227626462,Max,Max,0.6066422047,0.7042885196,0.2738954068,-1.8683030226,0.5286998513,0.6082505197
ETH_00021720,21.1949465082,0,99.1312580872,Max,Max,0.0115398413,0.0271644767,0.2138068952,-2.2256197147,0.1706459884,0.2326413535
ETH_00021060,0.4339791876,0,2.1050398745,Max,Max,1,1,0.2061619796,-2.2781497996,0.8609187239,0.8999464893
ETH_00008350,5.6594961309,0,38.668827504,Max,Max,0.2625992898,0.3614354986,0.1463581002,-2.7724255008,0.3333697519,0.4132720162
ETH_00002335,4.2472026702,0,29.2153512556,Max,Max,0.0645443189,0.1136657721,0.1453757182,-2.7821417762,0.0708825511,0.1095098951
ETH_00004610,23.9773664135,0,199.8133755599,Max,Max,0.0010105712,0.0035408799,0.1199988056,-3.0589080485,0.0117802103,0.0230087882
ETH_00007545,1.3641377568,0,11.8971027431,Max,Max,0.5385361147,0.6430576509,0.1146613412,-3.1245490355,0.1869193062,0.2510897265
ETH_00027770,56.3700155985,0,581.4802380401,Max,Max,0.000019629,0.0001126382,0.0969422723,-3.3667302899,0.0027114034,0.0062893025
ETH_00042360,3.9098904327,0,42.7091500789,Max,Max,0.1442015506,0.2211995541,0.0915469033,-3.4493451039,0.0744017897,0.1137180979
ETH_00034350,2.232096132,0,25.7781787312,Max,Max,0.430291241,0.5375841822,0.0865885893,-3.529679271,0.2294848789,0.3008130352
ETH_00017945,0.2169895938,0,2.688145646,Max,Max,1,1,0.0807209216,-3.6309135447,0.6899272776,0.7547944024
ETH_00038570,1.7670168475,0,23.0671662944,Max,Max,0.2397507985,0.3352951057,0.0766031174,-3.7064530855,0.0728396106,0.1119105725
ETH_00016225,1.832939243,0,67.4778924058,Max,Max,0.5028402375,0.6093656962,0.0271635521,-5.2021840431,0.0153627889,0.0290091004
ETH_00001365,2.5594416236,0,267.073656282,Max,Max,0.0387255898,0.0746844813,0.00958328,-6.7052647663,1.70E-12,1.88E-11
ETH_00006475,1.9395729391,0,294.1117475642,Max,Max,0.1697458395,0.2529828553,0.0065946803,-7.2444815695,1.13E-14,1.64E-13
ETH_00010155,1.8773727452,0,421.0848082449,Max,Max,0.1594232507,0.2406647484,0.0044584196,-7.809251897,2.99E-06,1.31E-05
ETH_00025245,3567.2191865912,0.6852622516,2.763414401,5205.6262813547,12.3458560272,1.63907276049364E-027,8.79699992161411E-025,1290.8737774954,10.3341322245,3.52E-35,1.07E-32
ETH_00023500,2521.0468983924,0.544369156,1.0862821061,4631.1347189755,12.1771500101,1.60830949586192E-026,5.24079137151577E-024,2320.8031175559,11.1804084233,3.28E-36,1.16E-33
ETH_00023495,2952.7006071388,0.6852622516,15.3378657804,4308.8621913871,12.0730912427,1.14284572426093E-026,4.17092975526269E-024,192.510525872,7.5887935198,2.64E-27,1.90E-25
ETH_00005645,1453.7578465558,0.3426311258,0,4242.9240575979,12.0508431413,3.18052474215528E-023,4.03043163158678E-021,Max,Max,2.70E-34,6.86E-32
ETH_00031770,2068.9750468075,0.544369156,3.1083088084,3800.6838262604,11.892043299,2.46845369131798E-025,5.11867533626937E-023,665.627250816,9.3785706885,2.69E-31,3.73E-29
ETH_00005690,5933.2323698163,1.5722625334,2.5989299242,3773.6906169592,11.8817604342,4.22798234865719E-029,4.28623454990535E-026,2282.9520390638,11.156684836,1.40E-40,1.61E-37
ETH_00013560,3296.2721215577,0.8870002818,11.9816577829,3716.2018875261,11.8596131648,1.94510633572267E-027,9.85952789285205E-025,275.1098538521,8.1038640046,4.29E-28,3.39E-26
ETH_00025260,1774.8007106469,0.544369156,1.8699473247,3260.2888885487,11.6707840895,1.13873713776863E-024,1.95867231055064E-022,949.1180244369,9.8904436898,3.37E-31,4.53E-29
ETH_00031775,1063.8055735637,0.3426311258,0.4671013643,3104.8129998913,11.6002906635,3.19385888629736E-021,2.42839737321476E-019,2277.4619277852,11.1532112214,2.69E-29,2.71E-27
ETH_00004805,2679.3570107767,0.8870002818,1.3198327882,3020.694655543,11.5606646424,4.05657599062834E-026,1.1071909039868E-023,2030.0730779244,10.9873159467,4.34E-36,1.47E-33
ETH_00005675,6177.6576481749,2.3183697197,2.791744954,2664.6559415226,11.3797335499,8.40496881665436E-029,7.66869354831544E-026,2212.8302369631,11.1116770599,7.17E-41,1.10E-37
ETH_00039550,899.6922867212,0.3426311258,8.32789512,2625.8334954536,11.3585597223,3.92599609136018E-020,2.42032353632231E-018,108.0335755616,6.7553359445,1.54E-18,3.75E-17
ETH_00019595,9867.3719970209,4.0315253487,97.4248869215,2447.5530087434,11.2571243905,8.55431421969803E-030,1.30082604900875E-026,101.2818419279,6.662231737,8.83E-23,3.40E-21
ETH_00022125,835.536946406,0.3426311258,347.9416992686,2438.590319094,11.2518316917,2.01195745640312E-020,1.32065466418864E-018,2.4013705404,1.263858034,0.0225345346,0.0402842188
ETH_00022670,2959.3538021035,1.2296314076,8.9955208522,2406.6999132752,11.2328405509,6.90879376605785E-026,1.61630344414133E-023,328.9808173114,8.3618596534,1.11E-28,9.57E-27
ETH_00023490,4242.4398238489,1.7740005637,0.8934670763,2391.4534813426,11.2236720129,3.27541990322318E-027,1.57172898861386E-024,4748.2889258748,12.213192008,3.49E-40,3.20E-37
ETH_00014060,1621.3591728384,0.6852622516,10.6664505975,2366.0418606652,11.2082598831,7.32464218397931E-023,8.25062164032435E-021,152.005501551,7.24797973,7.96E-23,3.12E-21
ETH_00014055,795.1741505865,0.3426311258,5.2463399179,2320.7878406276,11.1803989266,1.75247298209071E-019,9.40096771230912E-018,151.5674094755,7.2438157636,6.59E-21,2.04E-19
ETH_00021675,1584.9631222739,0.6852622516,9.5286046866,2312.929274237,11.175505436,6.82221635370595E-017,2.6830130177247E-015,166.3373782837,7.3779685881,5.94E-17,1.15E-15
ETH_00023640,1533.5541637915,0.6852622516,3.1913219806,2237.9084214734,11.127935285,4.95151332532205E-023,6.02368101069846E-021,480.5388403687,8.9085092338,1.05E-28,9.14E-27
ETH_00013970,4185.7918176452,1.9148936592,2648.0824863678,2185.9134565785,11.0940205685,1.73717336358046E-012,3.33683574090697E-011,1.5806878521,0.6605524982,0.2621286532,0.3366183181
ETH_00031765,1893.0612864599,0.8870002818,1.053290871,2134.2285061769,11.0594989346,7.62638369804466E-024,1.10449404541205E-021,1797.2825346769,10.8116015045,1.77E-33,3.87E-31
ETH_00016165,5987.518771415,3.0036319713,234.413068434,1993.4262348592,10.9610345052,2.0798939498581E-009,2.55754075451553E-008,25.5425979934,4.6748333671,6.56E-05,0.0002202292
ETH_00032470,201284.93537322,105.2488088641,232.5868235282,1912.4675855769,10.9012195804,5.01822982044218E-030,1.14465822204286E-026,865.4184803758,9.7572541186,8.15E-38,4.15E-35
